counties,pop_2016,pop_2017,pop_2018,pop_2019
ALAMANCE,160283,163276,166514,169509
ALEXANDER,37133,37143,37331,37497
ALLEGHANY,10919,10988,11138,11137
ANSON,25165,24829,24470,24446
ASHE,26600,26787,27099,27203
AVERY,17442,17517,17528,17557
BEAUFORT,47369,47033,47056,46994
BERTIE,19423,19263,19106,18947
BLADEN,33638,33443,33151,32722
BRUNSWICK,126304,130859,136880,142820
BUNCOMBE,254955,257071,259259,261191
BURKE,89451,90157,90405,90485
CABARRUS,201639,206988,211597,216453
CALDWELL,81766,81933,82026,82178
CAMDEN,10397,10532,10676,10867
CARTERET,68808,68921,69438,69473
CASWELL,22755,22616,22634,22604
CATAWBA,156448,157852,158687,159551
CHATHAM,69642,71189,73127,74470
CHEROKEE,27809,27954,28369,28612
CHOWAN,14201,14029,14065,13943
CLAY,10749,11004,11124,11231
CLEVELAND,96960,97134,97519,97947
COLUMBUS,56292,56047,55819,55508
CRAVEN,102632,102492,102338,102139
CUMBERLAND,333167,330994,333430,335509
CURRITUCK,25640,26290,27016,27763
DARE,35829,36199,36607,37009
DAVIDSON,164270,165180,166358,167609
DAVIE,41921,42308,42563,42846
DUPLIN,59275,58943,58991,58741
DURHAM,307826,312153,316979,321488
EDGECOMBE,53283,52756,51984,51472
FORSYTH,371260,375840,379216,382295
FRANKLIN,64676,66155,67625,69685
GASTON,216622,219656,222630,224529
GATES,11569,11514,11563,11562
GRAHAM,8531,8524,8461,8441
GRANVILLE,58684,59372,59979,60443
GREENE,21078,20963,21106,21069
GUILFORD,524265,528243,532607,537174
HALIFAX,51815,51311,50634,50010
HARNETT,130674,132395,134336,135976
HAYWOOD,60405,61005,61890,62317
HENDERSON,113583,115216,116500,117417
HERTFORD,24209,23923,23878,23677
HOKE,52981,54138,54695,55234
HYDE,5434,5240,5026,4937
IREDELL,172466,175634,178332,181806
JACKSON,42622,43224,43600,43938
JOHNSTON,190843,196374,202692,209339
JONES,9588,9573,9613,9419
LEE,59646,60403,61208,61779
LENOIR,57240,56622,55990,55949
LINCOLN,81229,82557,84092,86111
MACON,34262,34581,35274,35858
MADISON,21367,21563,21665,21755
MARTIN,23122,22763,22660,22440
MCDOWELL,44866,45083,45465,45756
MECKLENBURG,1056901,1078128,1093750,1110356
MITCHELL,14996,14992,14996,14964
MONTGOMERY,27301,27269,27077,27173
MOORE,95405,97368,98805,100880
NASH,93953,94019,94094,94298
NEW HANOVER,224809,228728,232256,234473
NORTHAMPTON,20127,19890,19698,19483
ONSLOW,192314,195066,196915,197938
ORANGE,142800,143626,147980,148476
PAMLICO,12765,12638,12633,12726
PASQUOTANK,39392,39386,39583,39824
PENDER,58771,60719,62017,63060
PERQUIMANS,13402,13439,13381,13463
PERSON,39270,39338,39436,39490
PITT,177171,178607,179575,180742
POLK,20414,20564,20668,20724
RANDOLPH,143062,143037,143249,143667
RICHMOND,45012,44827,44888,44829
ROBESON,133383,132626,131884,130625
ROCKINGHAM,91308,90791,90617,91010
ROWAN,139410,140356,141128,142088
RUTHERFORD,66286,66529,66775,67029
SAMPSON,63225,63263,63345,63531
SCOTLAND,35309,35174,34751,34823
STANLY,60826,61505,62180,62806
STOKES,45920,45724,45511,45591
SURRY,72008,72107,71959,71783
SWAIN,14190,14263,14249,14271
TRANSYLVANIA,33393,33767,34173,34385
TYRRELL,4024,4180,4115,4016
UNION,226279,231350,235830,239859
VANCE,44485,44281,44635,44535
WAKE,1048335,1071706,1091273,1111761
WARREN,19884,19849,19819,19731
WASHINGTON,12070,11944,11769,11580
WATAUGA,54140,55181,56034,56177
WAYNE,124269,123034,123237,123131
WILKES,68581,68489,68563,68412
WILSON,81307,81436,81392,81801
YADKIN,37653,37588,37481,37667
YANCEY,17610,17697,17873,18069
